ingreso_mensual,monto_prestamo,historial_crediticio,edad,empleo_estable,ratio_deuda_ingreso,score_normalizado,riesgo_demografico,es_moroso
3392.42,14690.58,712,29,0,0.36,0.75,0,0
3616.28,16074.32,558,61,1,0.37,0.47,0,0
2102.11,9508.4,681,36,0,0.38,0.69,0,0
4014.74,23558.71,439,49,1,0.49,0.25,0,0
3973.62,19653.76,804,28,1,0.41,0.92,0,0
4201.66,24362.24,696,32,1,0.48,0.72,0,0
3784.15,16978.37,485,54,0,0.37,0.34,0,0
5759.63,24777.57,595,47,0,0.36,0.54,0,0
3903.2,10935.58,388,24,0,0.23,0.16,1,0
3364.5,13488.63,585,62,1,0.33,0.52,0,0
5382.28,17775.9,470,40,0,0.28,0.31,0,0
1987.62,5041.59,337,43,0,0.21,0.07,0,0
2939.78,15833.75,446,21,1,0.45,0.27,0,0
4986.65,7595.06,377,64,0,0.13,0.14,0,0
3861.8,14219.73,457,18,1,0.31,0.29,0,0
4292.58,10841.15,581,65,1,0.21,0.51,0,0
3358.39,17958.68,803,22,0,0.45,0.91,1,0
6676.77,35031.42,624,27,1,0.44,0.59,0,0
3336.85,15820.55,712,54,0,0.4,0.75,0,0
4389.52,23536.77,438,48,1,0.45,0.25,0,0
3079.98,18133.25,841,63,1,0.49,0.98,0,0
3174.68,9025.37,636,51,1,0.24,0.61,0,0
3413.41,20152.72,614,20,0,0.49,0.57,1,0
5310.27,9265.0,534,61,1,0.15,0.43,0,0
5353.88,31196.43,697,28,1,0.49,0.72,0,0
2966.56,6581.94,305,26,1,0.18,0.01,0,1
3293.34,18109.26,843,53,1,0.46,0.99,0,0
5125.64,8803.52,492,30,0,0.14,0.35,0,0
3700.91,14026.37,309,55,1,0.32,0.02,0,1
5415.27,25364.46,690,49,0,0.39,0.71,0,0
4144.61,15294.52,351,46,1,0.31,0.09,0,0
4317.24,14089.62,434,40,1,0.27,0.24,0,0
4535.22,27114.06,400,36,1,0.5,0.18,0,0
3070.92,13903.05,674,59,0,0.38,0.68,0,1
3236.11,9143.93,639,62,0,0.24,0.62,0,1
3138.42,14330.52,681,43,1,0.38,0.69,0,0
4058.52,14923.3,600,40,1,0.31,0.55,0,0
4341.15,24950.56,381,50,1,0.48,0.15,0,0
2727.7,16202.52,632,60,1,0.49,0.6,0,0
4096.23,21085.75,527,23,0,0.43,0.41,1,1
1415.55,6691.05,345,66,1,0.39,0.08,0,0
5511.77,27250.98,611,42,0,0.41,0.57,0,0
4277.01,23294.19,804,32,0,0.45,0.92,0,0
3288.63,10555.03,300,26,1,0.27,0.0,0,0
3631.78,13352.25,822,52,1,0.31,0.95,0,0
4019.61,19465.08,572,48,1,0.4,0.49,0,0
2680.93,5292.6,746,19,0,0.16,0.81,1,0
1000.0,5020.8,705,45,1,0.42,0.74,0,0
5108.14,21295.5,445,25,1,0.35,0.26,0,0
4352.93,9492.59,774,18,1,0.18,0.86,0,0
3008.35,12415.87,424,49,1,0.34,0.23,0,0
3447.42,9909.88,843,54,1,0.24,0.99,0,0
1000.0,2040.03,505,63,0,0.17,0.37,0,0
1111.06,3763.34,546,37,1,0.28,0.45,0,0
3276.3,12541.48,668,53,1,0.32,0.67,0,0
3713.57,7261.89,467,30,0,0.16,0.3,0,0
4563.1,16272.96,641,24,1,0.3,0.62,0,0
3663.85,9682.32,348,59,1,0.22,0.09,0,1
3761.14,19062.43,721,18,0,0.42,0.77,1,0
1551.29,6463.53,481,53,0,0.35,0.33,0,0
1000.0,3543.56,569,51,1,0.3,0.49,0,0
3604.44,6114.05,543,62,1,0.14,0.44,0,0
4908.11,17990.23,316,53,1,0.31,0.03,0,0
2358.37,5461.53,488,54,0,0.19,0.34,0,0
2691.65,14878.22,377,64,0,0.46,0.14,0,1
3768.12,5778.28,733,58,1,0.13,0.79,0,0
3289.91,9840.7,787,62,0,0.25,0.89,0,0
3012.01,11695.51,771,20,1,0.32,0.86,0,0
3746.54,20392.45,639,58,1,0.45,0.62,0,0
4469.5,14606.71,698,21,1,0.27,0.72,0,0
4923.78,22895.24,578,64,1,0.39,0.51,0,0
2503.91,11695.99,421,31,1,0.39,0.22,0,0
4523.66,24009.47,335,18,0,0.44,0.06,1,1
1571.2,3356.27,480,60,0,0.18,0.33,0,0
1357.08,8108.66,414,37,1,0.5,0.21,0,0
4946.29,18790.19,670,53,1,0.32,0.67,0,0
5402.58,18138.75,776,43,0,0.28,0.87,0,0
4330.69,10593.65,834,48,1,0.2,0.97,0,0
3317.2,7089.2,742,31,1,0.18,0.8,0,0
3129.99,14348.73,689,36,1,0.38,0.71,0,0
4023.92,14887.26,465,64,1,0.31,0.3,0,0
4928.27,12957.93,539,43,1,0.22,0.43,0,0
1000.0,4199.32,428,61,0,0.35,0.23,0,1
3095.59,7868.29,540,48,0,0.21,0.44,0,0
4133.6,10521.53,601,30,1,0.21,0.55,0,0
1519.88,3158.12,366,43,1,0.17,0.12,0,1
4784.7,9931.93,834,32,1,0.17,0.97,0,0
3429.69,17231.76,334,41,0,0.42,0.06,0,1
2524.62,14114.37,797,23,1,0.47,0.9,0,0
3566.76,5842.96,671,22,1,0.14,0.67,0,0
2386.96,3808.89,688,22,0,0.13,0.71,1,0
4090.31,18061.37,529,30,1,0.37,0.42,0,0
4973.31,23418.64,567,60,1,0.39,0.49,0,0
2947.7,4851.98,800,59,0,0.14,0.91,0,0
1349.91,5748.76,650,61,1,0.35,0.64,0,0
4590.29,20687.43,764,32,1,0.38,0.84,0,0
3143.36,9179.12,405,48,0,0.24,0.19,0,0
3445.52,9704.04,432,18,0,0.23,0.24,1,0
3447.84,7547.34,572,30,0,0.18,0.49,0,1
4781.89,15748.24,454,36,1,0.27,0.28,0,0
2570.1,10508.05,474,41,1,0.34,0.32,0,0
5129.38,26045.4,787,41,1,0.42,0.89,0,0
4122.14,14676.97,606,63,0,0.3,0.56,0,0
3123.15,7141.43,569,28,1,0.19,0.49,0,0
1162.49,3069.6,370,28,1,0.22,0.13,0,0
3365.82,13810.73,474,29,1,0.34,0.32,0,0
5807.4,30898.35,611,43,0,0.44,0.57,0,1
3015.25,14747.2,617,23,1,0.41,0.58,0,0
3465.15,9645.98,680,27,1,0.23,0.69,0,0
1499.92,4026.12,715,37,1,0.22,0.75,0,0
3067.37,10248.04,850,40,0,0.28,1.0,0,0
3648.76,9563.1,732,20,1,0.22,0.79,0,0
5320.43,17782.76,301,32,1,0.28,0.0,0,0
2591.02,15132.39,804,34,1,0.49,0.92,0,0
4328.64,23703.85,476,69,1,0.46,0.32,0,0
6043.3,11495.1,832,58,0,0.16,0.97,0,0
3453.35,13333.63,678,45,1,0.32,0.69,0,0
5260.47,28207.61,431,36,1,0.45,0.24,0,0
2799.95,9811.96,336,19,0,0.29,0.07,1,1
2507.28,14507.43,558,22,0,0.48,0.47,1,1
3461.44,15981.14,409,48,0,0.38,0.2,0,1
3464.95,19864.78,481,50,0,0.48,0.33,0,0
2066.48,12285.33,748,41,1,0.5,0.81,0,0
2392.13,13220.88,613,52,1,0.46,0.57,0,0
4971.52,15680.61,666,68,1,0.26,0.67,0,0
4059.84,10695.37,371,64,0,0.22,0.13,0,0
2642.99,7993.23,830,43,1,0.25,0.96,0,0
2505.31,4815.24,329,67,0,0.16,0.05,0,0
1921.4,4226.59,402,39,1,0.18,0.19,0,0
3625.26,9225.25,392,47,1,0.21,0.17,0,0
2409.67,12070.95,462,63,0,0.42,0.29,0,0
3372.61,18974.76,386,60,1,0.47,0.16,0,0
1071.63,4459.35,643,62,1,0.35,0.62,0,0
1029.01,2543.27,336,34,1,0.21,0.07,0,0
1665.95,8887.35,781,26,1,0.44,0.87,0,0
4647.55,21912.72,662,21,1,0.39,0.66,0,0
1848.73,10114.28,416,33,0,0.46,0.21,0,0
1455.38,4698.41,830,30,1,0.27,0.96,0,0
4188.82,22847.12,379,47,1,0.45,0.14,0,1
3794.45,15612.57,456,55,1,0.34,0.28,0,0
4094.15,9770.23,305,53,1,0.2,0.01,0,0
3578.38,5685.45,652,66,0,0.13,0.64,0,0
2397.99,5283.5,843,66,1,0.18,0.99,0,0
3223.03,10002.26,448,26,1,0.26,0.27,0,0
4581.4,20698.31,369,38,0,0.38,0.13,0,0
2994.53,12123.76,527,59,1,0.34,0.41,0,0
3350.04,9640.96,374,62,1,0.24,0.13,0,0
2948.57,15788.71,819,36,0,0.45,0.94,0,0
4611.12,14265.57,493,30,1,0.26,0.35,0,0
3063.79,17324.08,723,37,1,0.47,0.77,0,0
3892.61,13059.33,360,64,1,0.28,0.11,0,0
2393.88,11094.17,632,58,0,0.39,0.6,0,0
3778.34,14104.45,478,20,0,0.31,0.32,1,0
3321.18,13371.16,350,50,0,0.34,0.09,0,1
3768.38,11255.9,696,57,1,0.25,0.72,0,0
3284.13,15675.25,508,44,0,0.4,0.38,0,0
2799.21,9576.49,691,54,0,0.29,0.71,0,0
4000.14,11715.75,547,34,1,0.24,0.45,0,0
2989.85,13627.79,399,53,1,0.38,0.18,0,0
2537.22,8766.18,553,34,1,0.29,0.46,0,0
4828.24,13356.64,612,52,0,0.23,0.57,0,0
3129.24,8103.86,588,42,1,0.22,0.52,0,0
2152.77,8810.2,817,48,1,0.34,0.94,0,0
3270.74,11850.05,566,49,1,0.3,0.48,0,0
3710.38,20832.48,515,20,1,0.47,0.39,0,0
4253.82,21965.69,729,46,1,0.43,0.78,0,0
3785.45,12127.44,787,30,0,0.27,0.89,0,0
2744.84,7504.33,454,29,1,0.23,0.28,0,0
3771.7,14869.61,760,37,0,0.33,0.84,0,0
2664.55,7065.99,811,25,1,0.22,0.93,0,0
4471.23,24210.28,420,29,0,0.45,0.22,0,1
4624.91,8870.07,704,42,1,0.16,0.73,0,0
3794.88,13553.44,529,69,0,0.3,0.42,0,0
2524.56,14106.15,305,62,0,0.47,0.01,0,0
6140.13,36009.3,313,56,0,0.49,0.02,0,0
4648.5,7442.97,596,49,0,0.13,0.54,0,1
5041.1,9445.02,350,48,1,0.16,0.09,0,1
4237.59,24932.71,633,45,1,0.49,0.61,0,0
5142.53,24948.32,573,40,0,0.4,0.5,0,0
2977.56,5436.83,731,22,1,0.15,0.78,0,0
3667.45,19165.4,472,63,1,0.44,0.31,0,0
1900.27,9208.39,416,21,1,0.4,0.21,0,0
4089.85,13763.84,673,49,1,0.28,0.68,0,0
5874.95,15533.41,796,58,1,0.22,0.9,0,0
2964.22,6745.44,729,68,0,0.19,0.78,0,0
3217.2,11761.42,311,43,1,0.3,0.02,0,1
2740.13,8783.3,773,32,1,0.27,0.86,0,0
3395.83,13887.21,693,51,1,0.34,0.71,0,0
3349.02,7810.31,399,35,1,0.19,0.18,0,0
3022.26,7007.55,824,36,1,0.19,0.95,0,0
3740.17,7037.77,438,67,1,0.16,0.25,0,0
4790.51,17000.38,714,20,1,0.3,0.75,0,0
3406.77,16176.33,326,26,1,0.4,0.05,0,0
4021.73,23166.14,572,22,1,0.48,0.49,0,1
1237.2,7410.9,739,20,1,0.5,0.8,0,0
2766.09,15539.12,369,36,0,0.47,0.13,0,1
1085.12,3179.3,552,44,0,0.24,0.46,0,0
4077.75,11765.94,329,53,0,0.24,0.05,0,0
3397.71,11643.95,657,36,1,0.29,0.65,0,0
1959.41,7671.89,624,64,1,0.33,0.59,0,0
3257.13,13346.94,474,63,1,0.34,0.32,0,0
4101.47,20865.3,381,67,1,0.42,0.15,0,0
2348.62,14012.17,535,38,0,0.5,0.43,0,0
3851.17,17468.06,446,22,1,0.38,0.27,0,1
4345.51,11881.63,462,67,1,0.23,0.29,0,1
3407.14,6034.47,690,40,1,0.15,0.71,0,0
3486.13,14018.22,369,52,1,0.34,0.13,0,0
3576.45,9500.48,810,69,0,0.22,0.93,0,0
5813.64,11894.87,696,32,1,0.17,0.72,0,0
5542.76,23865.17,456,69,1,0.36,0.28,0,0
2591.4,13441.39,410,57,1,0.43,0.2,0,0
5726.04,17105.85,795,68,0,0.25,0.9,0,0
5270.8,21159.47,642,41,1,0.33,0.62,0,0
4193.89,11461.7,671,26,1,0.23,0.67,0,0
3786.22,11848.5,413,43,1,0.26,0.21,0,0
2955.39,13538.63,749,62,1,0.38,0.82,0,0
4047.45,10963.19,416,45,1,0.23,0.21,0,1
3569.9,14204.65,698,62,1,0.33,0.72,0,0
3087.5,13158.57,341,34,1,0.36,0.07,0,1
2412.9,6817.05,514,22,0,0.24,0.39,1,1
1136.44,3073.48,751,32,0,0.23,0.82,0,0
2774.69,13854.23,553,47,1,0.42,0.46,0,0
2783.06,14613.19,619,56,0,0.44,0.58,0,0
1726.69,6756.0,537,43,1,0.33,0.43,0,0
2879.25,14945.44,710,45,0,0.43,0.75,0,0
3495.02,19144.6,437,54,1,0.46,0.25,0,1
2406.09,12692.75,831,45,0,0.44,0.97,0,0
2653.1,12460.44,430,61,0,0.39,0.24,0,0
3626.7,16886.15,471,64,1,0.39,0.31,0,0
3993.16,7184.56,413,48,1,0.15,0.21,0,0
5252.96,15108.67,755,52,0,0.24,0.83,0,0
4133.09,13938.74,583,34,1,0.28,0.51,0,0
3358.4,9158.93,674,32,0,0.23,0.68,0,0
2547.24,5167.1,772,37,0,0.17,0.86,0,0
2043.91,9591.73,449,24,0,0.39,0.27,1,1
6255.35,22929.38,558,66,0,0.31,0.47,0,0
4888.88,19834.46,321,27,0,0.34,0.04,0,0
2646.23,5691.98,340,47,0,0.18,0.07,0,1
3154.76,18059.7,627,65,1,0.48,0.59,0,0
3871.92,15813.54,455,30,0,0.34,0.28,0,1
2882.61,15147.89,476,36,0,0.44,0.32,0,1
3453.74,18214.81,424,30,0,0.44,0.23,0,1
3907.05,15506.42,426,34,1,0.33,0.23,0,0
3763.95,8694.95,337,68,0,0.19,0.07,0,0
4564.79,7915.18,343,43,0,0.14,0.08,0,1
5442.93,17174.0,697,64,1,0.26,0.72,0,0
3828.6,14608.92,762,19,1,0.32,0.84,0,0
3459.19,17290.49,645,59,1,0.42,0.63,0,0
4767.83,22498.06,645,39,0,0.39,0.63,0,1
4259.47,9602.1,814,36,1,0.19,0.93,0,0
4507.51,16812.33,773,50,1,0.31,0.86,0,0
4153.82,18577.42,622,22,1,0.37,0.59,0,0
2995.53,12750.96,774,49,1,0.35,0.86,0,0
2066.91,4796.54,349,62,1,0.19,0.09,0,0
3714.93,13710.34,719,30,1,0.31,0.76,0,0
4432.51,16425.66,706,39,0,0.31,0.74,0,0
3834.48,10206.25,747,67,0,0.22,0.81,0,0
3977.97,16410.89,764,39,0,0.34,0.84,0,1
2016.0,4888.08,580,46,1,0.2,0.51,0,0
4142.65,15983.88,832,53,1,0.32,0.97,0,0
3158.54,16177.37,508,31,1,0.43,0.38,0,1
4385.46,21640.24,573,45,1,0.41,0.5,0,0
3521.9,8875.94,688,49,0,0.21,0.71,0,0
5266.25,12010.34,505,58,1,0.19,0.37,0,0
3842.7,7040.02,346,24,1,0.15,0.08,0,0
1000.0,5309.19,715,20,1,0.44,0.75,0,0
3831.78,13213.47,540,20,0,0.29,0.44,1,0
4929.65,7802.38,491,52,0,0.13,0.35,0,0
2908.1,12085.97,349,45,1,0.35,0.09,0,0
3008.58,4792.92,563,26,1,0.13,0.48,0,0
4427.8,14874.5,698,54,1,0.28,0.72,0,0
4498.06,20129.93,683,43,1,0.37,0.7,0,0
3123.91,13047.25,577,22,1,0.35,0.5,0,0
3293.7,15975.9,773,25,0,0.4,0.86,0,0
4379.51,17254.66,498,52,1,0.33,0.36,0,1
3296.94,7394.95,696,61,0,0.19,0.72,0,0
4556.34,18322.81,577,20,0,0.34,0.5,1,0
4455.91,26074.77,313,22,0,0.49,0.02,1,1
2725.67,10761.68,709,32,1,0.33,0.74,0,0
1000.0,4652.13,601,37,1,0.39,0.55,0,0
4167.96,10117.87,467,40,1,0.2,0.3,0,0
2561.24,11541.82,569,68,0,0.38,0.49,0,0
2149.18,11865.83,743,34,0,0.46,0.81,0,0
3109.91,5388.74,628,36,0,0.14,0.6,0,0
5070.19,21841.03,577,37,1,0.36,0.5,0,0
3972.33,14497.58,847,47,1,0.3,0.99,0,0
3288.91,5246.68,485,30,0,0.13,0.34,0,0
4992.93,21448.21,337,24,1,0.36,0.07,0,0
2435.79,4207.84,489,40,0,0.14,0.34,0,0
3828.64,11196.93,741,41,1,0.24,0.8,0,0
2897.32,16295.16,681,53,1,0.47,0.69,0,0
3017.51,14239.33,564,21,1,0.39,0.48,0,0
2452.78,4339.72,791,19,0,0.15,0.89,1,0
4292.55,21125.24,850,26,1,0.41,1.0,0,0
2034.03,11039.13,656,34,1,0.45,0.65,0,0
3668.95,6726.67,772,55,1,0.15,0.86,0,0
2661.62,6831.73,336,52,1,0.21,0.07,0,1
4175.67,11858.56,359,30,1,0.24,0.11,0,0
3285.8,7386.43,603,46,1,0.19,0.55,0,0
2186.97,5313.81,817,33,0,0.2,0.94,0,0
5725.37,11763.16,332,59,1,0.17,0.06,0,0
1904.78,7040.37,693,42,1,0.31,0.71,0,0
1000.0,2435.05,755,57,1,0.2,0.83,0,0
3009.98,5860.44,308,22,1,0.16,0.01,0,0
3428.29,9204.42,588,29,0,0.22,0.52,0,0
4594.76,8712.74,478,60,0,0.16,0.32,0,0
4119.22,16522.21,838,20,0,0.33,0.98,1,0
2217.85,5992.5,427,64,0,0.23,0.23,0,0
3960.98,21135.17,604,30,0,0.44,0.55,0,0
4785.91,7365.99,475,34,1,0.13,0.32,0,1
2022.33,7255.39,802,40,0,0.3,0.91,0,0
1949.92,7457.24,459,57,1,0.32,0.29,0,0
4306.14,7264.6,445,53,0,0.14,0.26,0,0
4854.59,25825.78,621,31,0,0.44,0.58,0,0
2815.54,5452.27,822,39,0,0.16,0.95,0,0
4593.87,14651.52,370,63,1,0.27,0.13,0,0
3602.63,13384.54,325,61,1,0.31,0.05,0,0
4527.94,10222.66,521,44,0,0.19,0.4,0,0
2616.42,15355.27,346,41,0,0.49,0.08,0,0
4724.38,17825.34,544,38,1,0.31,0.44,0,0
1000.0,4003.5,803,33,1,0.33,0.91,0,0
2997.31,11485.74,838,57,1,0.32,0.98,0,0
4073.87,15788.81,665,41,0,0.32,0.66,0,1
1954.34,11274.18,456,40,1,0.48,0.28,0,1
1178.83,6243.4,405,69,1,0.44,0.19,0,0
2559.76,11793.99,713,64,1,0.38,0.75,0,0
1000.0,2455.82,389,63,1,0.2,0.16,0,0
4346.38,12302.68,686,49,1,0.24,0.7,0,0
1108.9,1948.88,545,50,1,0.15,0.45,0,0
2520.53,5520.93,560,28,1,0.18,0.47,0,0
2643.09,6695.08,422,58,0,0.21,0.22,0,1
3840.99,16511.92,450,33,1,0.36,0.27,0,0
2994.9,15116.9,710,41,0,0.42,0.75,0,1
3255.19,7118.88,473,50,0,0.18,0.31,0,0
4258.42,24917.0,545,19,1,0.49,0.45,0,0
2537.08,7412.1,815,37,1,0.24,0.94,0,0
2729.62,11761.01,535,60,1,0.36,0.43,0,0
2903.49,12642.69,449,36,1,0.36,0.27,0,0
2957.47,14696.16,484,33,1,0.41,0.33,0,0
3497.13,17944.66,826,59,1,0.43,0.96,0,0
4082.41,10069.25,493,60,1,0.21,0.35,0,0
3793.92,22191.69,700,50,0,0.49,0.73,0,0
4572.51,25753.76,315,27,1,0.47,0.03,0,0
3506.06,13008.22,430,23,0,0.31,0.24,1,0
3517.28,19593.82,827,38,1,0.46,0.96,0,0
2909.41,4669.68,556,65,0,0.13,0.47,0,0
3671.39,19985.58,562,61,0,0.45,0.48,0,0
2971.77,12205.48,431,20,1,0.34,0.24,0,0
1000.0,3015.27,764,56,1,0.25,0.84,0,0
1135.92,2953.21,581,36,0,0.22,0.51,0,0
3017.2,12184.4,339,53,1,0.34,0.07,0,1
2591.17,13717.22,452,19,1,0.44,0.28,0,0
3426.82,20109.07,616,53,0,0.49,0.57,0,1
1000.0,2122.06,427,58,1,0.18,0.23,0,0
4985.43,23312.98,718,60,0,0.39,0.76,0,0
4643.68,14626.68,835,39,1,0.26,0.97,0,0
3831.06,15269.63,828,28,0,0.33,0.96,0,0
3396.01,12433.97,414,44,1,0.31,0.21,0,0
4658.59,24589.64,707,21,0,0.44,0.74,1,0
5360.96,13172.89,749,65,1,0.2,0.82,0,0
3507.34,20354.43,829,53,1,0.48,0.96,0,0
5299.9,30023.0,491,68,1,0.47,0.35,0,0
3281.26,6917.49,543,45,1,0.18,0.44,0,0
1751.6,9668.36,729,22,1,0.46,0.78,0,0
1441.01,6069.2,651,27,1,0.35,0.64,0,0
3872.7,16191.72,398,55,1,0.35,0.18,0,0
4037.14,21890.52,418,37,0,0.45,0.21,0,0
1000.0,4067.76,445,57,0,0.34,0.26,0,0
4245.07,24809.69,448,37,1,0.49,0.27,0,0
2968.76,13902.27,572,37,0,0.39,0.49,0,1
3102.22,6715.16,300,34,0,0.18,0.0,0,0
3350.74,14432.1,696,25,1,0.36,0.72,0,0
3999.03,14381.17,416,31,0,0.3,0.21,0,0
1011.34,5717.72,356,61,0,0.47,0.1,0,0
4909.08,22292.01,589,60,0,0.38,0.53,0,0
2909.96,6806.81,774,69,1,0.19,0.86,0,0
5472.33,24490.38,537,25,1,0.37,0.43,0,0
3641.1,12600.94,585,22,0,0.29,0.52,1,1
4737.93,12833.45,803,66,0,0.23,0.91,0,0
3994.39,9158.12,477,22,0,0.19,0.32,1,1
5861.91,21299.38,496,21,1,0.3,0.36,0,0
